Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE
2002-08-20,39.57981872558594,11.149984359741213,,5.630000114440918,13.951622009277346,3.304279327392578,10.051074028015137,10.1899995803833,16.662761688232422,1.6876530647277832,10.476420402526855,10.004106521606444,27.27307319641113,0.8899999856948853,5.507976055145264,11.409627914428713,22.73258781433105,3.109999895095825,2.3399999141693115,
2002-08-21,39.74027633666992,11.532109260559082,,5.130000114440918,13.951622009277346,3.343297243118286,10.130767822265623,10.699999809265137,16.944114685058597,1.8487476110458372,10.35515022277832,10.529013633728027,27.51626014709473,0.9200000166893004,5.8496952056884775,11.47999095916748,22.876665115356445,3.1875,2.380000114440918,
2002-08-22,39.25890731811523,11.902827262878418,,5.050000190734863,13.802404403686525,3.3979225158691406,10.344937324523926,10.40999984741211,17.006637573242188,2.416412353515625,10.55726432800293,10.510485649108887,28.269573211669922,0.9900000095367432,6.06326961517334,11.476285934448242,22.89267349243164,3.134999990463257,2.450000047683716,
2002-08-23,38.96577072143555,11.55777645111084,,5.179999828338623,13.354756355285645,3.4269075393676762,10.200496673583984,9.670000076293944,17.034782409667972,2.5084662437438965,10.409043312072754,9.89294719696045,27.83656311035156,1.1399999856948853,5.8496952056884775,11.298528671264648,22.89267349243164,3.0499999523162837,2.4100000858306885,
2002-08-26,39.26508331298828,11.74313259124756,,5.599999904632568,13.056329727172852,3.4815328121185303,10.399724006652832,9.720000267028807,16.890962600708008,2.424083709716797,10.442734718322754,10.004106521606444,28.41191673278809,1.0900000333786009,5.710309505462647,11.387404441833494,22.946029663085934,3.0850000381469727,2.549999952316284,
2002-08-27,39.15090942382813,11.62336254119873,,5.150000095367432,12.161038398742676,3.203946590423584,10.374820709228516,9.09000015258789,16.722150802612305,2.408741950988769,10.297881126403807,9.454500198364258,28.57800483703613,1.0399999618530271,5.606895446777344,11.272610664367676,22.865989685058594,3.0,2.8399999141693115,
2002-08-28,38.56462478637695,11.361010551452635,,5.300000190734863,11.8626070022583,2.9720678329467773,9.951460838317873,8.699999809265138,16.350133895874027,2.393398761749268,10.112607955932617,9.170430183410645,27.60523223876953,0.9499999880790709,5.498982906341553,11.109663009643556,22.78594207763672,2.914999961853028,2.809999942779541,
2002-08-29,38.462806701660156,11.540668487548828,,5.579999923706055,12.161038398742676,3.1537811756134038,10.120806694030762,8.760000228881836,16.322004318237305,2.4470977783203125,10.186717987060547,8.76902961730957,27.60523223876953,0.959999978542328,5.552939414978027,11.187433242797852,22.94069099426269,3.047499895095825,3.3399999141693115,
2002-08-30,38.55536651611328,11.415194511413574,,5.28000020980835,12.272950172424315,3.1069588661193848,10.01123046875,8.850000381469727,16.334501266479492,2.3166882991790767,10.311357498168944,8.293526649475098,27.82469367980957,0.9499999880790709,5.4922380447387695,11.417033195495605,23.44230651855469,2.9674999713897705,3.0,
2002-09-03,37.0372314453125,10.916152000427246,,5.199999809265137,11.75069522857666,3.0311520099639893,9.174470901489258,8.260000228881836,15.693625450134276,2.0481979846954346,9.87006378173828,7.935354232788086,26.507902145385746,0.9100000262260436,5.3056416511535645,11.13558864593506,23.132801055908203,2.7249999046325684,3.150000095367432,
2002-09-04,37.22854614257813,11.064438819885254,,5.289999961853027,12.011823654174805,3.0913512706756587,9.503196716308594,8.449999809265138,15.37788200378418,1.9714856147766116,9.85322093963623,8.336753845214844,27.40949440002441,0.8899999856948853,5.472005367279053,11.365184783935547,23.06876945495605,2.8824999332427983,3.3199999332427983,
2002-09-05,37.25322723388672,10.779268264770508,,5.25,11.773078918457033,2.9308202266693115,9.129642486572266,7.989999771118164,15.396631240844727,2.063539743423462,9.930699348449707,8.472613334655763,26.175737380981445,0.9100000262260436,5.116796016693115,10.739344596862793,22.865989685058594,2.7174999713897705,3.1700000762939453,
2002-09-06,37.83949661254883,10.693718910217283,,5.349999904632568,11.937215805053713,2.9876744747161865,9.592848777770996,8.039999961853027,15.693625450134276,2.1172378063201904,9.9205961227417,8.738157272338867,26.91717529296875,0.959999978542328,5.465259552001953,10.805996894836426,22.96738624572754,2.875,3.25,
2002-09-09,38.2807502746582,10.816344261169434,,5.170000076293945,12.116271018981935,3.057907819747925,9.687481880187988,7.96999979019165,16.193830490112305,2.1172378063201904,10.095763206481934,9.09632396697998,26.85786247253418,0.9399999976158142,5.503479480743408,10.924505233764648,22.80728530883789,2.9674999713897705,3.2699999809265137,
